               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.04228,            0.012507,                   0,             0.99559,                   1,               0.995,             0.77051,            0.015835,           0.0049232,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031786,             0.01082,                   0,             0.99745,                   1,               0.995,             0.57281,            0.019168,           0.0056546,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.045298,             0.01088,                   0,             0.98829,                   1,               0.995,             0.65036,            0.025418,           0.0054539,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.042162,            0.012588,                   0,              0.9985,                   1,               0.995,             0.72155,            0.018242,           0.0045402,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.046872,           0.0099936,                   0,              0.9964,                   1,               0.995,             0.85308,            0.013103,           0.0042514,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.037186,            0.012421,                   0,             0.99234,                   1,               0.995,             0.76203,            0.021435,           0.0054678,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.038101,            0.010169,                   0,             0.99876,                   1,               0.995,             0.68595,            0.020018,           0.0039408,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.035072,           0.0092048,                   0,             0.99848,                   1,               0.995,             0.81523,             0.01383,           0.0038077,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.038106,            0.010514,                   0,             0.99826,                   1,               0.995,             0.76175,            0.017303,           0.0038641,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.044991,            0.011126,                   0,              0.9987,                   1,               0.995,             0.89708,            0.013079,           0.0039201,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.035016,            0.011643,                   0,             0.99647,                   1,               0.995,             0.81361,            0.014586,           0.0034587,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032988,            0.010063,                   0,              0.9929,                   1,               0.995,             0.80453,            0.013168,            0.003694,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.029905,           0.0093455,                   0,              0.9088,                   1,             0.98591,             0.77196,            0.017674,           0.0036644,                   0,           0.0075745,           0.0075745,           0.0075745
