               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01755,           0.0082266,                   0,             0.98788,                   1,               0.995,             0.85136,            0.011323,           0.0062678,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.015348,            0.008829,                   0,             0.98663,                   1,               0.995,             0.84703,            0.009968,           0.0060135,                   0,            0.091896,          0.00089554,          0.00089554
                   2,            0.016791,            0.010488,                   0,             0.98658,                   1,               0.995,             0.84956,           0.0093002,           0.0054545,                   0,            0.087386,           0.0013861,           0.0013861
                   3,            0.017021,            0.011519,                   0,              0.9816,                   1,               0.995,             0.86467,           0.0094948,           0.0053771,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.017875,           0.0091562,                   0,             0.98045,                   1,               0.995,             0.86817,           0.0094258,           0.0051789,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.014954,           0.0089583,                   0,             0.98225,                   1,               0.995,              0.8737,           0.0093217,           0.0049579,                   0,            0.073828,           0.0028282,           0.0028282
                   6,             0.01609,           0.0082958,                   0,             0.98169,                   1,               0.995,              0.8733,           0.0089196,           0.0048146,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.012811,           0.0087216,                   0,             0.97325,                   1,               0.995,             0.88505,           0.0086079,            0.004869,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.015278,           0.0089477,                   0,             0.96991,                   1,               0.995,             0.88327,           0.0092012,           0.0045025,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.027759,           0.0085512,                   0,             0.97005,                   1,               0.995,             0.86008,           0.0092032,           0.0042155,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.013635,           0.0081396,                   0,             0.97168,                   1,               0.995,             0.87325,           0.0090943,            0.003947,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.020954,            0.010515,                   0,             0.97004,                   1,               0.995,              0.8825,           0.0086994,           0.0038851,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.018885,           0.0096678,                   0,             0.97217,                   1,               0.995,             0.85646,            0.010501,           0.0037484,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.022144,           0.0087712,                   0,             0.97012,                   1,               0.995,             0.86005,             0.01114,           0.0042016,                   0,            0.037456,            0.006456,            0.006456
                  14,            0.024332,           0.0091063,                   0,             0.97766,                   1,               0.995,             0.88732,           0.0095581,           0.0034023,                   0,            0.032887,           0.0068872,           0.0068872
                  15,            0.022979,           0.0077272,                   0,             0.99119,                   1,               0.995,             0.83948,            0.017477,           0.0038864,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.021985,           0.0060968,                   0,               0.995,                   1,               0.995,             0.83659,            0.017912,           0.0040214,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.024463,            0.010455,                   0,             0.99222,                   1,               0.995,             0.81637,            0.011105,             0.00366,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.020779,           0.0073898,                   0,             0.99532,                   1,               0.995,             0.86172,           0.0094324,           0.0039222,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.022233,           0.0083414,                   0,             0.99081,                   1,               0.995,             0.83835,            0.010286,           0.0042625,                   0,           0.0099689,           0.0089689,           0.0089689
                  20,            0.028406,            0.010703,                   0,             0.99584,                   1,               0.995,             0.75548,            0.018614,           0.0051989,                   0,             0.00901,             0.00901,             0.00901
                  21,            0.019359,           0.0082169,                   0,             0.99664,                   1,               0.995,             0.83276,            0.011939,           0.0044506,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.019447,           0.0075872,                   0,             0.99749,                   1,               0.995,             0.85075,           0.0098207,           0.0040916,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.026032,           0.0076619,                   0,             0.99693,                   1,               0.995,              0.8546,            0.012145,           0.0040614,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.021556,           0.0076809,                   0,                   1,             0.99962,               0.995,             0.75483,            0.021323,           0.0039157,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.028467,            0.011071,                   0,             0.99848,                   1,               0.995,             0.85834,            0.010808,           0.0034766,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.017908,           0.0072757,                   0,             0.99708,                   1,               0.995,             0.87625,            0.010816,            0.003693,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.030042,           0.0091298,                   0,             0.99498,                   1,               0.995,             0.84534,            0.011058,           0.0046763,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.018975,           0.0070919,                   0,             0.99558,                   1,               0.995,              0.7955,            0.023151,           0.0039094,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029385,           0.0079104,                   0,              0.9944,                   1,               0.995,             0.87254,            0.011362,           0.0043353,                   0,            0.008614,            0.008614,            0.008614
