               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043161,            0.017957,                   0,             0.77116,             0.71312,              0.7539,              0.4009,             0.03987,           0.0091633,                   0,            0.070312,           0.0032986,           0.0032986
                   1,            0.040063,            0.012549,                   0,             0.81156,             0.74752,             0.82247,             0.45224,            0.037672,           0.0077988,                   0,             0.04028,           0.0065991,           0.0065991
                   2,            0.038842,            0.012104,                   0,             0.80902,             0.77562,             0.85672,               0.477,            0.036714,           0.0076474,                   0,            0.010214,           0.0098666,           0.0098666
                   3,            0.038893,             0.01239,                   0,             0.83698,             0.74543,             0.85972,             0.45878,            0.037199,           0.0076813,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.037135,            0.012227,                   0,             0.84991,             0.82545,             0.89683,             0.50174,            0.035365,           0.0070744,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036195,            0.011453,                   0,              0.8718,             0.81866,             0.90576,             0.51368,            0.034362,           0.0072558,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.036147,            0.011339,                   0,             0.85916,             0.85014,             0.90889,             0.52633,            0.033455,           0.0070723,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.035169,             0.01142,                   0,             0.87415,             0.86531,             0.92752,             0.54102,            0.032148,            0.006687,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.034862,            0.010915,                   0,             0.86417,             0.86356,             0.92039,             0.52407,            0.033029,           0.0067928,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.034303,            0.010843,                   0,              0.9101,             0.87362,             0.94445,             0.55937,            0.031952,           0.0065178,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.033892,            0.011288,                   0,             0.90428,             0.85364,             0.93761,              0.5488,            0.032454,           0.0066506,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.034712,             0.01054,                   0,              0.8788,             0.87515,             0.93237,             0.54206,             0.03247,           0.0066164,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.034183,            0.011021,                   0,             0.88217,             0.87755,             0.92836,             0.54201,            0.032404,           0.0068221,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.034276,            0.010524,                   0,             0.91262,             0.88918,              0.9477,             0.57397,             0.03091,           0.0063394,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.032855,            0.010542,                   0,             0.89775,             0.87544,             0.93877,             0.56818,             0.03144,           0.0066233,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033358,            0.010743,                   0,              0.9148,             0.91603,             0.95308,             0.58615,            0.030337,           0.0060768,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.032788,            0.010607,                   0,             0.91573,             0.91195,              0.9579,             0.59105,             0.02967,           0.0061124,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032841,            0.010593,                   0,             0.90952,             0.90612,             0.95189,             0.57703,            0.030171,           0.0061513,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.032566,            0.010235,                   0,             0.92425,             0.90356,             0.95836,             0.58717,            0.029944,           0.0060922,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032445,            0.010314,                   0,             0.90427,             0.91662,             0.95447,             0.57934,            0.030472,           0.0063064,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.032381,            0.010179,                   0,             0.92995,             0.90379,             0.96185,             0.59771,            0.029816,             0.00591,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.032082,            0.010027,                   0,             0.91899,             0.92605,              0.9663,             0.60228,            0.029229,           0.0058517,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.03307,            0.010343,                   0,             0.91975,             0.88216,             0.95295,             0.58647,             0.02995,            0.006225,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.031972,            0.010028,                   0,             0.92346,             0.90845,             0.96086,             0.59509,            0.029495,           0.0059861,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.032083,            0.010168,                   0,             0.93284,             0.93145,             0.97128,             0.61839,            0.028832,            0.005716,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032127,            0.010194,                   0,             0.94025,             0.93411,             0.97373,              0.6108,            0.028758,           0.0058388,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.031017,            0.010004,                   0,              0.9245,             0.92819,             0.96511,             0.60816,            0.028801,           0.0058379,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031605,           0.0098864,                   0,             0.94031,             0.93411,             0.97308,               0.609,            0.029122,           0.0057238,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.031234,           0.0094747,                   0,             0.93112,             0.93794,             0.96915,             0.61666,            0.028435,           0.0056989,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.030846,           0.0099186,                   0,             0.93913,             0.93563,             0.97487,             0.62293,            0.027875,           0.0056213,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.030853,           0.0094031,                   0,             0.92217,             0.91883,              0.9605,             0.60035,            0.029572,           0.0059336,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030986,            0.010064,                   0,             0.94283,             0.92478,             0.97104,             0.62506,             0.02792,           0.0057095,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.030416,           0.0093197,                   0,              0.9419,             0.92886,             0.97432,             0.62089,            0.028199,           0.0056553,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.030731,           0.0093485,                   0,             0.92882,             0.94345,             0.96973,              0.6219,            0.027947,           0.0056591,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.031081,            0.010001,                   0,             0.93851,             0.94332,             0.97584,             0.62974,            0.027582,           0.0056301,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030319,           0.0092154,                   0,             0.93371,             0.93623,             0.97162,             0.62419,            0.027902,           0.0056534,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.029878,           0.0099633,                   0,             0.94278,             0.94344,             0.97383,             0.63428,            0.027516,           0.0054527,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029781,           0.0096892,                   0,             0.90734,             0.89446,               0.956,             0.59909,            0.028567,           0.0062337,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.030734,           0.0095097,                   0,              0.9392,             0.94577,             0.97845,             0.63248,            0.027157,           0.0054479,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030434,           0.0098222,                   0,             0.94427,             0.92867,             0.97659,             0.62245,             0.02789,           0.0054821,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.030095,           0.0095194,                   0,             0.94352,             0.95464,             0.97941,             0.64822,            0.026416,           0.0053223,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029548,           0.0098068,                   0,             0.94006,             0.96152,             0.98016,             0.64966,            0.026489,           0.0053324,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02979,           0.0091651,                   0,             0.93693,             0.94409,             0.97657,             0.63589,            0.027382,           0.0054717,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029879,           0.0095348,                   0,             0.94491,              0.9551,             0.97901,             0.65169,            0.026223,            0.005247,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.02899,           0.0093084,                   0,              0.9446,             0.95435,             0.97955,             0.65185,            0.026395,           0.0052454,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.02962,           0.0091094,                   0,             0.92699,             0.93279,             0.97077,             0.62617,            0.028094,           0.0057003,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.029508,           0.0093767,                   0,             0.94882,             0.95219,             0.97939,             0.65218,            0.026282,           0.0052425,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02931,            0.009571,                   0,             0.95186,             0.95696,             0.98196,             0.66123,            0.025978,           0.0051966,                   0,            0.007723,            0.007723,            0.007723
                  48,               0.029,           0.0098306,                   0,             0.94733,             0.95977,             0.98305,             0.66444,            0.025746,           0.0051461,                   0,           0.0076735,           0.0076735,           0.0076735
