               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025169,           0.0054347,                   0,              0.9837,             0.98868,             0.99428,             0.76632,            0.018532,           0.0028753,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.024809,           0.0050829,                   0,             0.99622,             0.99522,             0.99474,              0.7711,            0.017742,           0.0027295,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.024553,           0.0049661,                   0,             0.99241,             0.98699,             0.99481,             0.77255,            0.019103,           0.0026996,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.025117,           0.0057582,                   0,             0.98484,             0.98054,             0.99177,             0.73478,            0.019115,           0.0030434,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026133,           0.0049353,                   0,             0.95503,             0.94717,             0.98388,             0.74398,            0.020283,           0.0039269,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.023761,            0.005197,                   0,             0.99273,             0.98113,              0.9947,             0.77393,             0.01909,           0.0026824,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.023379,           0.0051837,                   0,             0.99243,             0.99004,             0.99492,              0.7672,            0.019116,           0.0026239,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.025152,           0.0051343,                   0,              0.9602,             0.97358,             0.99089,             0.75385,            0.018753,            0.002987,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.02358,           0.0049927,                   0,             0.98684,             0.99623,             0.99492,             0.78978,             0.01775,            0.002615,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.023912,           0.0051423,                   0,             0.98501,              0.9916,             0.99477,             0.78364,            0.017466,           0.0026712,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025022,           0.0051417,                   0,              0.9905,                   1,             0.99485,             0.79789,            0.016962,           0.0025489,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.023032,           0.0055221,                   0,             0.98486,             0.98213,             0.99432,             0.80357,            0.016986,           0.0026886,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022644,           0.0052526,                   0,             0.99923,             0.98868,             0.99478,             0.80027,            0.017192,            0.002652,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.023565,           0.0048429,                   0,                   1,             0.99508,               0.995,             0.79552,            0.017281,           0.0025841,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.023131,           0.0049619,                   0,             0.99593,                   1,               0.995,             0.80929,            0.015778,           0.0023494,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.023654,           0.0043246,                   0,             0.99623,             0.99735,               0.995,             0.80547,            0.015963,           0.0023729,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02243,           0.0051095,                   0,             0.99451,                   1,             0.99489,             0.80859,             0.01557,           0.0023709,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.021369,           0.0049924,                   0,             0.99711,                   1,               0.995,             0.78447,             0.01619,           0.0023901,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.021642,           0.0051285,                   0,             0.99248,             0.99665,             0.99496,             0.79855,            0.015637,           0.0023932,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.021591,           0.0050563,                   0,             0.99623,             0.99598,             0.99489,             0.81053,            0.015341,           0.0024684,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022089,           0.0044499,                   0,             0.99844,             0.99245,               0.995,             0.80768,            0.016889,           0.0023728,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.021708,           0.0042057,                   0,                   1,             0.99921,               0.995,             0.82286,            0.014611,           0.0022913,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021038,           0.0050943,                   0,             0.99245,             0.99191,             0.99492,             0.81347,            0.015377,            0.002343,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.021601,           0.0046668,                   0,             0.99924,                   1,               0.995,             0.82124,            0.015017,           0.0023042,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021678,           0.0048738,                   0,                   1,              0.9879,             0.99489,             0.79026,            0.016146,           0.0025754,                   0,             0.00703,             0.00703,             0.00703
