               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042791,            0.028341,                   0,             0.91646,             0.62222,             0.71719,             0.42294,            0.036721,            0.019265,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.043273,            0.037879,                   0,             0.92083,             0.62222,             0.73789,             0.43819,            0.035461,            0.018091,                   0,            0.091896,          0.00089554,          0.00089554
                   2,            0.040202,            0.028528,                   0,             0.83034,             0.68883,             0.75674,             0.44677,            0.034302,            0.016665,                   0,            0.087386,           0.0013861,           0.0013861
                   3,            0.051916,            0.030526,                   0,             0.78247,             0.71942,             0.76781,             0.45008,            0.033193,            0.015609,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.039503,            0.027009,                   0,             0.83883,             0.68889,             0.77962,              0.4505,            0.032558,              0.0149,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.036133,            0.020378,                   0,             0.83654,             0.72593,             0.79647,             0.46898,            0.031291,            0.014396,                   0,            0.073828,           0.0028282,           0.0028282
                   6,            0.038299,            0.017983,                   0,             0.85891,             0.74815,             0.81357,             0.47523,            0.030463,            0.013767,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.038745,            0.022959,                   0,              0.8682,             0.74815,             0.82833,             0.49204,            0.029998,             0.01301,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.039884,            0.023538,                   0,             0.84559,             0.73019,             0.84536,             0.47657,            0.030116,            0.012614,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.038184,            0.020365,                   0,             0.87807,             0.76296,             0.87872,              0.5228,            0.028991,            0.012342,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.037348,            0.020269,                   0,              0.8719,             0.78519,             0.88823,             0.52671,            0.028497,            0.012158,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.034725,            0.017879,                   0,             0.88597,             0.80577,             0.89909,             0.54738,            0.027349,            0.011434,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.033447,            0.016982,                   0,             0.83848,             0.84598,             0.90662,             0.56074,            0.027028,            0.010806,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.038169,             0.01779,                   0,              0.8626,             0.84444,             0.92431,             0.56017,            0.027169,            0.010538,                   0,            0.037456,            0.006456,            0.006456
                  14,            0.033426,            0.014722,                   0,             0.90392,             0.82222,             0.93319,             0.57159,            0.026902,            0.010279,                   0,            0.032887,           0.0068872,           0.0068872
                  15,            0.033246,            0.015835,                   0,             0.85002,             0.88163,             0.93794,             0.55039,              0.0278,            0.010452,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.034484,            0.022744,                   0,             0.89427,             0.84444,             0.93847,             0.55916,            0.027839,            0.010432,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.037066,            0.019356,                   0,             0.89946,             0.86149,             0.94741,             0.59882,            0.026152,           0.0099321,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.032548,            0.017042,                   0,              0.8712,              0.8963,             0.95239,             0.61313,            0.026249,           0.0098358,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.032772,            0.017116,                   0,             0.90343,              0.9037,             0.95646,             0.60754,            0.026497,            0.010189,                   0,           0.0099689,           0.0089689,           0.0089689
                  20,            0.031288,            0.017601,                   0,             0.91609,             0.88957,              0.9469,             0.51693,            0.029231,           0.0097587,                   0,             0.00901,             0.00901,             0.00901
                  21,            0.031929,            0.017145,                   0,             0.94016,             0.93098,             0.97141,             0.61045,            0.025916,           0.0092993,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.032755,            0.019167,                   0,             0.93647,             0.92593,             0.96778,             0.64407,            0.024486,           0.0092083,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.031369,            0.020753,                   0,             0.90533,             0.92089,              0.9654,             0.64143,            0.024242,            0.010144,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.030546,            0.016923,                   0,             0.94669,             0.92078,             0.97656,             0.64185,            0.024389,           0.0094459,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.030571,            0.014693,                   0,             0.95804,             0.91111,             0.97612,             0.64605,            0.024124,           0.0092466,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.033615,            0.016719,                   0,             0.96612,             0.91852,             0.97786,             0.63446,            0.024778,           0.0092314,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029786,            0.012768,                   0,              0.9671,             0.91111,             0.97339,             0.62689,            0.024419,           0.0092098,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.029968,             0.01979,                   0,              0.9283,             0.95911,             0.98489,             0.64103,            0.023939,           0.0089225,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033415,            0.017049,                   0,             0.94834,             0.97037,             0.98264,             0.64474,            0.024061,           0.0085244,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.032125,            0.018511,                   0,             0.94924,             0.96973,             0.98498,             0.69571,            0.021436,           0.0084535,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030527,             0.01533,                   0,             0.94918,             0.98519,             0.98838,             0.66501,            0.023595,           0.0085652,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.027703,            0.016285,                   0,             0.94332,             0.98619,             0.99065,             0.67515,             0.02267,           0.0084312,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032837,            0.017323,                   0,             0.97404,             0.94074,             0.98785,             0.66958,            0.024037,           0.0086978,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.028892,            0.014877,                   0,             0.96749,             0.94815,             0.98929,             0.72275,            0.020568,           0.0084162,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.029903,            0.015263,                   0,             0.95608,             0.96749,             0.98982,             0.70611,            0.021227,           0.0085077,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.028937,            0.013921,                   0,             0.96076,             0.92593,             0.98518,              0.6894,            0.021315,           0.0086068,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.027818,            0.014169,                   0,             0.96142,             0.92293,             0.98152,             0.68719,            0.022041,           0.0088709,                   0,            0.008218,            0.008218,            0.008218
                  38,             0.02574,            0.011964,                   0,             0.96204,              0.8963,             0.97598,              0.6814,            0.022309,           0.0092177,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028506,            0.017006,                   0,             0.93878,              0.9087,             0.97286,              0.6809,            0.022388,           0.0092253,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.027006,            0.015664,                   0,             0.94767,             0.92593,             0.98215,              0.6807,            0.021801,           0.0085062,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026541,            0.012735,                   0,             0.94853,             0.94815,             0.98595,             0.66876,            0.022834,           0.0083389,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02659,            0.012493,                   0,             0.95509,             0.94522,              0.9876,             0.73127,            0.019792,           0.0079157,                   0,           0.0079705,           0.0079705,           0.0079705
