               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1193,            0.027548,                   0,           0.0013333,             0.02963,          0.00073847,          0.00015259,             0.12069,            0.023589,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11593,            0.031715,                   0,           0.0018182,            0.044444,           0.0016712,          0.00039918,             0.11551,            0.023171,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.11115,            0.031458,                   0,          0.00097222,            0.051852,          0.00053058,          0.00012658,             0.11496,            0.021513,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.10625,            0.031055,                   0,           0.0023077,             0.13333,           0.0014767,          0.00032218,             0.10512,            0.022662,                   0,            0.082844,           0.0018436,           0.0018436
                   4,              0.1046,            0.031909,                   0,           0.0050739,              0.1037,           0.0042198,           0.0006328,             0.09875,            0.022618,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.097512,            0.030644,                   0,              0.0025,             0.22222,           0.0020872,           0.0004937,             0.09484,            0.022774,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.093337,            0.027936,                   0,           0.0026389,             0.28148,           0.0024626,          0.00063215,            0.088351,            0.023727,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.092504,            0.033698,                   0,            0.002619,             0.40741,           0.0023076,          0.00053398,            0.084188,            0.023903,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.088912,            0.035157,                   0,           0.0028571,             0.44444,           0.0031857,          0.00078301,            0.083439,            0.023544,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.087106,            0.033431,                   0,           0.0033333,             0.51852,           0.0046471,           0.0011317,            0.078975,            0.024056,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.085955,            0.035721,                   0,            0.012315,             0.24444,            0.011862,           0.0031669,            0.076771,            0.024031,                   0,            0.050865,           0.0048654,           0.0048654
