               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10936,            0.019222,                   0,          0.00074074,             0.24151,          0.00064607,          0.00013102,            0.098356,            0.014005,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.093069,            0.016066,                   0,          0.00056738,             0.24151,          0.00044498,          8.7739e-05,            0.088273,            0.010773,                   0,            0.057677,           0.0046767,           0.0046767
                   2,            0.082741,            0.015668,                   0,           0.0015514,             0.66038,           0.0026733,          0.00055304,            0.075205,            0.011138,                   0,             0.03603,           0.0070297,           0.0070297
                   3,             0.07932,             0.01443,                   0,           0.0021543,             0.91698,            0.077307,            0.019914,            0.074384,            0.011189,                   0,            0.014359,           0.0093589,           0.0093589
                   4,            0.078395,             0.01509,                   0,           0.0022252,             0.94717,            0.016457,           0.0041657,            0.064459,            0.012105,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.063568,            0.017443,                   0,           0.0022163,              0.9434,             0.27824,            0.084608,            0.067386,           0.0099274,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.064457,            0.015022,                   0,            0.020033,             0.80755,               0.307,            0.097757,            0.060779,            0.010611,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.057139,            0.014516,                   0,             0.58341,             0.36993,             0.41315,             0.14118,            0.063037,           0.0083163,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.052736,            0.014029,                   0,             0.65179,             0.46415,              0.5532,             0.19643,            0.048533,            0.009199,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.056131,            0.011881,                   0,             0.63545,            0.098676,             0.15587,            0.055349,            0.069626,           0.0096867,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.054315,            0.013654,                   0,             0.50187,              0.5283,             0.51273,             0.21383,            0.050531,           0.0080602,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.052834,             0.01163,                   0,             0.50469,             0.48302,              0.5013,             0.22586,            0.051356,           0.0091579,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.052357,            0.011653,                   0,             0.68581,             0.64151,             0.70236,              0.3363,            0.043557,           0.0077276,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049379,            0.012072,                   0,             0.73375,             0.60755,             0.70513,             0.31309,            0.042605,           0.0077048,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.04828,            0.010567,                   0,             0.80269,             0.61407,             0.71944,             0.33138,            0.042135,           0.0070598,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.048525,            0.010727,                   0,             0.75777,             0.63746,             0.71845,             0.34877,            0.043543,           0.0065952,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.046094,            0.010319,                   0,             0.71959,             0.60377,             0.68692,             0.34124,            0.041351,           0.0071521,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.049194,            0.010236,                   0,             0.75445,             0.64906,             0.73478,             0.35294,            0.040573,           0.0072681,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.045991,           0.0092855,                   0,             0.75542,             0.67925,              0.7892,             0.39157,            0.040254,           0.0070072,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043329,           0.0094441,                   0,             0.75782,             0.68679,             0.79831,             0.43252,            0.037582,           0.0065189,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.042424,           0.0097728,                   0,             0.77427,             0.69897,             0.78401,             0.35178,            0.041532,           0.0058021,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.045348,           0.0081987,                   0,             0.74335,             0.70189,             0.76041,             0.38994,            0.040671,           0.0059124,                   0,             0.00901,             0.00901,             0.00901
                  22,             0.04517,            0.008237,                   0,             0.82165,             0.61509,             0.69855,             0.30063,            0.044994,           0.0062942,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.045862,           0.0093214,                   0,             0.76469,             0.73585,             0.79731,             0.43175,            0.037386,           0.0056518,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.043988,           0.0095454,                   0,             0.83616,             0.72453,             0.84177,             0.45647,            0.035311,           0.0056561,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.040417,           0.0092778,                   0,             0.74311,             0.77501,             0.80366,             0.39958,            0.037971,           0.0059591,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.041653,             0.00856,                   0,             0.87718,             0.75463,             0.86736,             0.44792,            0.036493,           0.0053397,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.041511,           0.0087096,                   0,             0.68052,             0.16881,             0.21903,            0.086093,            0.059116,            0.012012,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.041738,           0.0097229,                   0,             0.93326,              0.4749,             0.59633,             0.29731,            0.043875,           0.0087581,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.040288,            0.008854,                   0,             0.75587,             0.68679,             0.76589,             0.38603,            0.040642,           0.0058715,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.039116,           0.0084477,                   0,             0.76858,             0.69434,              0.8006,              0.4431,            0.036258,           0.0058669,                   0,           0.0085645,           0.0085645,           0.0085645
